Date,Open,High,Low,Close,Volume,Avg,Num
2022-11-02 14:31:00,382.39,382.41,382.19,382.27,61730,382.266002,678
2022-11-02 14:32:00,382.27,382.33,382.18,382.19,297993,384.23037,590
2022-11-02 14:33:00,382.18,382.425,382.1626,382.39,67421,382.275083,831
2022-11-02 14:34:00,382.3801,382.4399,382.32,382.39,76192,382.392274,727
2022-11-02 14:35:00,382.38,382.3913,382.15,382.18,58450,382.244693,775
2022-11-02 14:36:00,382.18,382.45,382.18,382.33,89710,382.342915,1054
2022-11-02 14:37:00,382.33,382.4962,382.32,382.48,92116,382.407029,822
2022-11-02 14:38:00,382.47,382.59,382.275,382.45,138755,382.468046,1258
2022-11-02 14:39:00,382.46,382.57,382.37,382.46,139097,382.471018,939
2022-11-02 14:40:00,382.49,382.57,382.4201,382.495,87237,382.489382,759
2022-11-02 14:41:00,382.45,382.47,382.37,382.46,45639,382.415902,500
2022-11-02 14:42:00,382.45,382.4982,382.26,382.4,64176,382.372952,740
2022-11-02 14:43:00,382.39,382.63,382.36,382.5701,83275,382.518408,811
2022-11-02 14:44:00,382.58,382.73,382.52,382.56,81716,382.610413,790
2022-11-02 14:45:00,382.57,382.765,382.51,382.76,89133,382.63033,756
2022-11-02 14:46:00,382.75,382.76,382.61,382.65,78329,382.699047,843
2022-11-02 14:47:00,382.6301,382.8476,382.6301,382.82,341519,384.112451,962
2022-11-02 14:48:00,382.805,382.805,382.62,382.6301,70591,382.723101,699
2022-11-02 14:49:00,382.64,382.78,382.63,382.68,51417,382.704157,630
2022-11-02 14:50:00,382.66,382.7,382.48,382.49,61364,382.567775,650
2022-11-02 14:51:00,382.49,382.6667,382.42,382.64,75095,382.523001,883
2022-11-02 14:52:00,382.6365,382.82,382.51,382.8001,55977,382.638452,688
2022-11-02 14:53:00,382.8,382.95,382.75,382.81,77775,382.854283,798
2022-11-02 14:54:00,382.8,383.12,382.8,383.04,108611,382.966194,1029
2022-11-02 14:55:00,383.02,383.1,382.95,383.06,72174,383.02177,708
2022-11-02 14:56:00,383.08,383.1,382.94,383.04,374745,384.079632,1114
2022-11-02 14:57:00,383.05,383.06,382.945,383.02,57551,383.014296,685
2022-11-02 14:58:00,383.04,383.1,383.0,383.03,49596,383.053667,576
2022-11-02 14:59:00,383.04,383.045,382.695,382.75,92366,382.859717,874
2022-11-02 15:00:00,382.76,383.005,382.74,382.95,85940,382.898173,890
2022-11-02 15:01:00,382.95,383.07,382.845,382.9452,85198,382.978429,665
2022-11-02 15:02:00,382.935,383.02,382.855,382.86,104481,382.936559,876
2022-11-02 15:03:00,382.86,382.95,382.81,382.86,58906,382.872623,626
2022-11-02 15:04:00,382.89,382.95,382.7899,382.805,77154,382.868716,663
2022-11-02 15:05:00,382.81,383.03,382.81,382.85,56242,382.897168,687
2022-11-02 15:06:00,382.845,382.87,382.72,382.72,306569,384.27551,551
2022-11-02 15:07:00,382.73,382.86,382.7001,382.815,51370,382.774593,532
2022-11-02 15:08:00,382.82,382.86,382.66,382.6917,52963,382.765334,618
2022-11-02 15:09:00,382.6801,382.86,382.6801,382.84,45988,382.800721,416
2022-11-02 15:10:00,382.81,382.87,382.66,382.67,72188,382.72924,538
2022-11-02 15:11:00,382.68,382.87,382.63,382.81,44972,382.764355,585
2022-11-02 15:12:00,382.79,382.93,382.665,382.6699,70182,382.830936,796
2022-11-02 15:13:00,382.6699,382.67,382.42,382.52,86683,382.530562,817
2022-11-02 15:14:00,382.52,382.57,382.4221,382.46,53192,382.491807,556
2022-11-02 15:15:00,382.45,382.5,382.372,382.4,46982,382.428776,548
2022-11-02 15:16:00,382.38,382.42,382.27,382.345,112347,382.356938,924
